◇ injected env (9) from .env // tip: ⌘ custom filepath { path: '/custom/path/.env' }
◇ injected env (0) from .env // tip: ◈ encrypted .env [www.dotenvx.com]
Connecting DB: {
  server: 'TUNGLAI',
  instance: null,
  port: null,
  database: 'ToeicVocabularyPlatform',
  auth: 'windows'
}
Attempting to start server...
Server successfully started on port 3001
DB Connected
[2026-06-21T16:51:57.855Z] GET /api/admin/notifications?page=1&limit=20
[2026-06-21T16:51:57.859Z] GET /api/user/notifications?limit=1
[2026-06-21T16:51:57.864Z] GET /api/admin/notifications?page=1&limit=20
[2026-06-21T16:52:02.641Z] GET /api/user/notifications?limit=1
[2026-06-21T16:52:02.643Z] GET /api/categories/part-of-speeches
[2026-06-21T16:52:02.646Z] GET /api/admin/topic-categories
[2026-06-21T16:52:02.661Z] GET /api/admin/topics?page=1&limit=50
[2026-06-21T16:52:02.664Z] GET /api/user/notifications?limit=1
[2026-06-21T16:52:02.666Z] GET /api/admin/words?page=1&limit=20&sortBy=createdAt&sortDirection=desc
[2026-06-21T16:52:02.678Z] GET /api/categories/part-of-speeches
[2026-06-21T16:52:02.706Z] GET /api/admin/topic-categories
[2026-06-21T16:52:02.713Z] GET /api/admin/topics?page=1&limit=50
[2026-06-21T16:52:02.716Z] GET /api/admin/words?page=1&limit=20&sortBy=createdAt&sortDirection=desc
[2026-06-21T16:52:07.436Z] GET /api/user/notifications?limit=1
[2026-06-21T16:52:07.438Z] GET /api/user/notifications?limit=1
[2026-06-21T16:52:07.441Z] GET /api/admin/words?page=1&limit=20&sortBy=updatedAt&sortDirection=desc
[2026-06-21T16:52:07.447Z] GET /api/admin/words?page=1&limit=20&sortBy=updatedAt&sortDirection=desc
[2026-06-21T16:52:07.616Z] GET /api/admin/questions/2056?page=1&limit=10
[2026-06-21T16:52:12.198Z] GET /api/admin/minitests?page=1&limit=12
[2026-06-21T16:52:12.202Z] GET /api/categories/topics
[2026-06-21T16:52:12.207Z] GET /api/admin/words?page=1&limit=100
[2026-06-21T16:52:12.212Z] GET /api/admin/minitests?page=1&limit=12
[2026-06-21T16:52:12.216Z] GET /api/categories/topics
[2026-06-21T16:52:12.221Z] GET /api/admin/words?page=1&limit=100
[2026-06-21T16:52:12.342Z] GET /api/admin/questions/2075?page=1&limit=100
[2026-06-21T16:52:12.515Z] GET /api/admin/questions/2075?page=1&limit=100
[2026-06-21T16:52:12.522Z] GET /api/admin/questions/2074?page=1&limit=100
[2026-06-21T16:52:12.530Z] GET /api/user/notifications?limit=1
[2026-06-21T16:52:12.532Z] GET /api/user/notifications?limit=1
[2026-06-21T16:52:12.627Z] GET /api/admin/questions/2074?page=1&limit=100
[2026-06-21T16:52:12.633Z] GET /api/admin/questions/2073?page=1&limit=100
[2026-06-21T16:52:12.662Z] GET /api/admin/questions/2072?page=1&limit=100
[2026-06-21T16:52:12.665Z] GET /api/admin/questions/2073?page=1&limit=100
[2026-06-21T16:52:12.690Z] GET /api/admin/questions/2071?page=1&limit=100
[2026-06-21T16:52:12.693Z] GET /api/admin/questions/2072?page=1&limit=100
[2026-06-21T16:52:12.720Z] GET /api/admin/questions/2071?page=1&limit=100
[2026-06-21T16:52:12.724Z] GET /api/admin/questions/2070?page=1&limit=100
[2026-06-21T16:52:12.748Z] GET /api/admin/questions/2069?page=1&limit=100
[2026-06-21T16:52:12.751Z] GET /api/admin/questions/2070?page=1&limit=100
